,,,,
Nazwa Zbioru,Indeks Randa,FM,Parametr M,Czas
twosplashes.data.gz,0.011538483988565,0.578232985784399,4,1977.317797
twosplashes.data.gz,0.157889447236181,0.577889447236181,8,1998.225453
unbalance.data.gz,0.689821001053864,0.779219380003353,8,262088.793612
unbalance.data.gz,0.729284274084791,0.80278527296555,10,274600.600212
unbalance.data.gz,0.786659843760149,0.846176679091461,14,288028.679067
wingnut.data.gz,-0.000985443540469,0.499204395444554,2,2637.025203
wingnut.data.gz,1,1,4,2647.432738
wingnut.data.gz,1,1,8,2359.586022
x1.data.gz,0.24168043426953,0.558016838022081,3,3544.481678
x1.data.gz,0.471091029504433,0.734909342425945,5,290.668188
x1.data.gz,1,1,9,3566.6299
x2.data.gz,0.555519281044912,0.713235685711395,3,3569.703734
x2.data.gz,0.688287234237034,0.795185514456828,5,284.963798
x2.data.gz,0.190404787161198,0.536729843627439,9,3555.898152
x3.data.gz,0.516615041938907,0.683678754783537,4,3580.127378
x3.data.gz,0.563567992275321,0.725285869648342,6,294.90997
x3.data.gz,0.903035216661651,0.928632633945566,10,3565.306167
z1.data.gz,0.283231285798933,0.565685424949238,3,3548.749616
z1.data.gz,0.240617030785054,0.547765987713209,5,315.364715
z1.data.gz,0.27447232747776,0.56186770457531,9,3568.684201
z2.data.gz,0.446273066647874,0.636039593763834,5,2240.017367
z2.data.gz,0.615499552807348,0.746903660845058,7,2247.734945
z2.data.gz,0.629776231718909,0.756913202413637,11,2512.920405
z3.data.gz,0.848213800454095,0.892491089999485,4,2291.513428
z3.data.gz,0.758056624224167,0.839237453460737,6,2302.342568
z3.data.gz,0.816957645855412,0.876956754118808,10,2304.664854
zigzag.data.gz,-0.069989450119651,0.436179405299758,3,3585.085074
zigzag.data.gz,0.348219719189219,0.607057151478889,5,303.659227
zigzag.data.gz,0.375654258025104,0.630981476138958,9,3608.712104
Set3.data.gz,0.189464908338565,0.376804052476832,5,2613.6996
Set3.data.gz,0.525494347054968,0.629956792420806,7,2607.924439
Set3.data.gz,0.596970700922373,0.686614006544775,11,2583.49975
Set1.data.gz,0.985037524550926,0.992509610085949,2,2181.083709
Set1.data.gz,0.472060025549035,0.748818495110214,4,2160.454886
Set1.data.gz,0.93113892149727,0.965547652652519,8,2389.575358
Set2.data.gz,0.815317481820727,0.908055121452986,2,7306.459245
Set2.data.gz,1,1,4,6382.684346
Set2.data.gz,1,1,8,8516.633974
Set3.data.gz,0.126719283274258,0.359647207762157,5,2586.854717
Set3.data.gz,0.364300807667902,0.536495721294055,7,2609.48888
Set3.data.gz,0.56014786649252,0.656069262031218,11,2576.07116
