"a1.data.gz","0.846285625857096","0.855922466005394","2505.568621"
"a2.data.gz","0.922131001288814","0.924573868953075","3443.851384"
"a3.data.gz","0.938654515822145","0.940004324433271","3747.703234"
"aggregation.data.gz","0.621859825863261","0.710955535130288","2538.646619"
"atom.data.gz","1","1","2352.396186"
"chainlink.data.gz","1","1","399.395069"
"compound.data.gz","0.517314489297038","0.630697131563223","4173.291585"
"cross.data.gz","0.463351540403616","0.62364164762008","2320.809344"
"d31.data.gz","0.900202004215437","0.903803729502311","2430.823676"
"dense.data.gz","0.960200080403878","0.980004059577927","321.290226"
"engytime.data.gz","0.812417285578669","0.906482736572823","4532.080251"
"flame.data.gz","1","1","318.41892"
"fuzzyx.data.gz","0.340145739043006","0.523631442554887","4171.913812"
"hepta.data.gz","1","1","330.967957"
"iris.data.gz","0.635696821515892","0.767250075512329","4139.199263"
"iris5.data.gz","0.29547021539944","0.575511958361266","317.880489"
"jain.data.gz","1","1","4193.168913"
"line.data.gz","1","1","340.440834"
"lsun.data.gz","1","1","4182.278801"
"parabolic.data.gz","0.813418507363336","0.90704698391206","343.726987"
"pathbased.data.gz","0.5067310737252","0.684351286747978","4181.188873"
"r15.data.gz","0.985650095985955","0.986584668833494","340.427197"
"ring.data.gz","1","1","4222.850315"
"s1.data.gz","0.987993465874293","0.988793343809604","2783.223203"
"s2.data.gz","0.916333651498103","0.921918316573762","2727.445633"
"s3.data.gz","0.664790180210615","0.689598073992071","2899.182484"
"s4.data.gz","0.590100092507646","0.61947942118858","2784.260996"
"Set1.data.gz","1","1","1932.400708"
"Set2.data.gz","1","1","2307.442103"
"Set3.data.gz","0.338424499746177","0.515263178778218","321.613888"
"smile.data.gz","1","1","4295.683436"
"spiral.data.gz","1","1","2303.527286"
"square.data.gz","1","1","334.271823"
"target.data.gz","0.429111481622092","0.649353848942389","4144.91478"
"tetra.data.gz","1","1","316.899968"
"twodiamonds.data.gz","0.980075065153501","0.990025563872058","1937.104348"
"twosplashes.data.gz","1","1","328.44306"
"unbalance.data.gz","0.616390535857784","0.724527254433862","5576.520654"
"wingnut.data.gz","1","1","2311.090596"
"x1.data.gz","1","1","337.533523"
"x2.data.gz","0.688287234237034","0.795185514456828","4167.048861"
"x3.data.gz","0.496713148093008","0.671337184820516","331.09594"
"z1.data.gz","0.0964279239118448","0.415469309801794","4202.769933"
"z2.data.gz","0.499331882053776","0.666679389490411","337.49057"
"z3.data.gz","0.669184471399952","0.764457365510383","4252.585889"
"zigzag.data.gz","1","1","320.770236"
