"Nazwa Zbioru","Indeks Randa","FM","Czas"
"cross.data.gz","0.00500841026977185","0.485155716366224","107.876351"
"zigzag.data.gz","-0.105988399470857","0.476161236344226","252.343497"
"iris.data.gz","0.572630579371164","0.728224031552634","0.984807"
"s1.data.gz","0.743075068034045","0.767717230266623","2677.390705"
"bład","bład","bład","bład"
"engytime.data.gz","0.000657250263165721","0.698165190836011","658.785827"
"flame.data.gz","0.0127504301311393","0.730023527047636","1.603931"
"unbalance.data.gz","0.610625249025141","0.773901743227516","1379.990748"
"a3.data.gz","0.637036100679285","0.659446215716053","1998.032092"
"square.data.gz","0.0292784841079672","0.660054792708203","22.642604"
"target.data.gz","0.111008745066076","0.660778069187875","12.794067"
"tetra.data.gz","0.671340691289061","0.785934105174138","3.531981"
"iris5.data.gz","0.147145379635079","0.678362287949425","0.666884"
"atom.data.gz","0.00170230490754549","0.692407626443509","14.10878"
"s3.data.gz","0.441660551212839","0.503422375160319","866.666179"
"Nazwa Zbioru","Indeks Randa","FM","Czas"
"Nazwa Zbioru","Indeks Randa","FM","Czas"
