"Nazwa Zbioru","Indeks Randa","FM","Czas"
"cross.data.gz","0.0724606520881393","0.44042884879127","368.30214"
"zigzag.data.gz","0.175076064200234","0.511257493023151","1.738535"
"iris.data.gz","0.615322993214545","0.749782112978849","1758.366608"
"s1.data.gz","0.983335663870517","0.984446753533986","1179.561283"
"bład","bład","bład","bład"
"engytime.data.gz","0.808021078163264","0.904402351599494","815.969061"
"flame.data.gz","0.288937646689094","0.662463872625783","1.702938"
"unbalance.data.gz","0.999976887161302","0.999983476565497","1465.618828"
"a3.data.gz","0.938880039669881","0.940099545609396","2085.420749"
"square.data.gz","0.233693164121136","0.66614293412338","296.668065"
"target.data.gz","0.638779120247275","0.794834176229066","13.175693"
"tetra.data.gz","0.967267633008765","0.97539451589619","1944.628052"
"iris5.data.gz","0.321907600596125","0.666102296329571","0.715446"
"atom.data.gz","0.0670717687962495","0.648507612183965","289.147007"
"s3.data.gz","0.685128689075541","0.706387916622381","889.882212"
"Nazwa Zbioru","Indeks Randa","FM","Czas"
"Nazwa Zbioru","Indeks Randa","FM","Czas"
