"","2013_1","2013_2","2013_3","2013_4","2014_1","2014_2","2014_3","2014_4","2015_1","2015_2","2015_3","2015_4","2016_1","2016_2","2016_3","2016_4","2017_1","2017_2","2017_3","2017_4","2018_1","2018_2","2018_3","2018_4"
"obama",0.000501634958382878,0.000477010732741487,0.000443183832653785,0.000602743689273573,0.000150105073551486,0.000318538967933744,0.000512198409489149,0.000342428720758389,0.00014732747952148,0.000158467842347135,0.000344136520982206,0.000499292668719314,0.000305850482806834,0.000446149727848666,0.000514498863815009,0.000647372161589721,0.000764939720308743,0.000503852030036082,0.000346475335287069,0.000253981741021745,0.000234795588079093,0.000408398858661323,0.000275610967865937,0.000169803897206519
"trump",1.85790725326992e-05,5.30011925268319e-05,2.95455888435857e-05,2.41097475709429e-05,0,0,0,0,0,2.26382631924479e-05,0.000101216623818296,0.000416077223932762,0.00161663826626469,0.00101499063085572,0.00157207986165697,0.00310316438327247,0.00274645910217235,0.00171065890842896,0.00136665271141011,0.00103439836343402,0.00107335125979014,0.00174250179695498,0.00129101979684571,0.00117206104657183
